deg,cs,E
29.999999999999996,55020.7595640923,126
30.120120120120124,53643.71793483325,126
30.240240240240244,52301.95322884672,126
30.360360360360364,50994.506943535416,126
30.48048048048048,49720.4489337484,126
30.6006006006006,48478.876487062684,126
30.72072072072072,47268.9134323222,126
30.84084084084084,46089.70928012182,126
30.96096096096096,44940.438393980745,126
31.08108108108108,43820.29919100318,126
31.201201201201197,42728.51337087476,126
31.321321321321324,41664.32517209378,126
31.441441441441444,40627.00065438172,126
31.561561561561565,39615.82700626178,126
31.68168168168168,38630.1118768382,126
31.8018018018018,37669.182730848996,126
31.92192192192192,36732.38622610195,126
32.04204204204204,35819.08761244368,126
32.16216216216216,34928.67015144388,126
32.28228228228228,34060.53455601327,126
32.4024024024024,33214.09844920346,126
32.52252252252253,32388.79584147032,126
32.64264264264264,31584.076625708803,126
32.76276276276276,30799.406089399017,126
32.88288288288288,30034.264443226384,126
33.003003003003,29288.14636556768,126
33.12312312312312,28560.560562256913,126
33.24324324324324,27851.02934106982,126
33.36336336336336,27159.088200388098,126
33.48348348348348,26484.285431525404,126
33.6036036036036,25826.181734218622,126
33.72372372372373,25184.34984480627,126
33.84384384384384,24558.3741766366,126
33.96396396396396,23947.850472264174,126
34.08408408408408,23352.38546701183,126
34.2042042042042,22771.596563492112,126
34.32432432432432,22205.11151669634,126
34.44444444444444,21652.568129276715,126
34.56456456456456,21113.61395665955,126
34.68468468468468,20587.90602164313,126
34.8048048048048,20075.110538145913,126
34.92492492492493,19574.902643784397,126
35.04504504504504,19086.966140971585,126
35.16516516516516,18610.99324623943,126
35.28528528528528,18146.684347499224,126
35.4054054054054,17693.747768964913,126
35.525525525525524,17251.899543475196,126
35.645645645645644,16820.863191959394,126
35.765765765765764,16400.36950980202,126
35.885885885885884,15990.156359870514,126
36.006006006006004,15589.968471978316,126
36.126126126126124,15199.55724856522,126
36.246246246246244,14818.680576383797,126
36.366366366366364,14447.10264398945,126
36.486486486486484,14084.593764838433,126
36.606606606606604,13730.930205805513,126
36.726726726726724,13385.894020940164,126
36.846846846846844,13049.27289028621,126
36.966966966966964,12720.859963596637,126
37.087087087087085,12400.453708781246,126
37.207207207207205,12087.85776493038,126
37.327327327327325,11782.880799764465,126
37.447447447447445,11485.336371362973,126
37.567567567567565,11195.042794033743,126
37.687687687687685,10911.823008186042,126
37.807807807807805,10635.504454078258,126
37.927927927927925,10365.918949313274,126
38.048048048048045,10102.902569961003,126
38.168168168168165,9846.295535190102,126
38.288288288288285,9595.942095296847,126
38.408408408408405,9351.69042302127,126
38.528528528528525,9113.392508045703,126
38.648648648648646,8880.904054574195,126
38.768768768768766,8654.084381894536,126
38.888888888888886,8432.796327828337,126
39.009009009009006,8216.906154977829,126
39.129129129129126,8006.283459680978,126
39.249249249249246,7800.80108358974,126
39.369369369369366,7600.33502778924,126
39.489489489489486,7404.764369378164,126
39.609609609609606,7213.9711804337585,126
39.729729729729726,7027.8404492870895,126
39.849849849849846,6846.260004036958,126
39.969969969969966,6669.120438233082,126
40.09009009009009,6496.315038661823,126
40.21021021021021,6327.739715169362,126
40.33033033033033,6163.292932460243,126
40.45045045045045,6002.875643810427,126
40.57057057057057,5846.391226636673,126
40.69069069069069,5693.745419865612,126
40.81081081081081,5544.846263047839,126
40.93093093093093,5399.604037164336,126
41.05105105105105,5257.931207073918,126
41.17117117117117,5119.742365552433,126
41.29129129129129,4984.954178875858,126
41.41141141141141,4853.485333900887,126
41.53153153153153,4725.256486598563,126
41.65165165165165,4600.1902119973465,126
41.77177177177177,4478.210955493957,126
41.89189189189189,4359.244985491195,126
42.01201201201201,4243.220347323812,126
42.13213213213213,4130.066818434087,126
42.252252252252255,4019.715864760668,126
42.37237237237237,3912.100598304866,126
42.49249249249249,3807.1557358399964,126
42.61261261261261,3704.8175587304418,126
42.73273273273273,3605.023873828046,126
42.852852852852855,3507.7139754146237,126
42.972972972972975,3412.828608160244,126
43.093093093093096,3320.30993106786,126
43.213213213213216,3230.101482375992,126
43.33333333333334,3142.1481453918236,126
43.453453453453456,3056.396115227995,126
43.573573573573576,2972.7928664173446,126
43.693693693693696,2891.287121380402,126
43.813813813813816,2811.828819721488,126
43.933933933933936,2734.3690883297572,126
44.054054054054056,2658.860212262512,126
44.174174174174176,2585.2556063885336,126
44.294294294294296,2513.509787770121,126
44.414414414414416,2443.5783487629537,126
44.534534534534544,2375.4179308137723,126
44.65465465465466,2308.9861989361702,126
44.77477477477478,2244.2418168456943,126
44.8948948948949,2181.1444227358224,126
45.01501501501502,2119.6546056770253,126
45.13513513513514,2059.73388262165,126
45.25525525525526,2001.3446759977635,126
45.37537537537538,1944.4502918758972,126
45.4954954954955,1889.0148986927006,126
45.61561561561562,1835.0035065163488,126
45.735735735735744,1782.3819468388124,126
45.85585585585586,1731.1168528805686,126
45.97597597597598,1681.175640393783,126
46.0960960960961,1632.5264889504053,126
46.21621621621622,1585.138323701994,126
46.33633633633634,1538.9807975984795,126
